都道府県,1920年,1925年,1930年,1935年,1940年1),1947年2),1950年,1955年,1960年3),1965年,1970年,1975年,1980年,1985年,1990年,1995年,2000年,2005年,2010年,2015年
全国,"55,963","59,737","64,450","69,254","71,933","78,101","84,115","90,077","94,302","99,209","104,665","111,940","117,060","121,049","123,611","125,570","126,926","127,768","128,057","127,095"
北海道,"2,359","2,499","2,812","3,068","3,229","3,853","4,296","4,773","5,039","5,172","5,184","5,338","5,576","5,679","5,644","5,692","5,683","5,628","5,506","5,382"
青森,756,813,880,967,985,"1,180","1,283","1,383","1,427","1,417","1,428","1,469","1,524","1,524","1,483","1,482","1,476","1,437","1,373","1,308"
岩手,846,901,976,"1,046","1,078","1,263","1,347","1,427","1,449","1,411","1,371","1,386","1,422","1,434","1,417","1,420","1,416","1,385","1,330","1,280"
宮城,962,"1,044","1,143","1,235","1,247","1,567","1,663","1,727","1,743","1,753","1,819","1,955","2,082","2,176","2,249","2,329","2,365","2,360","2,348","2,334"
秋田,899,936,988,"1,038","1,035","1,257","1,309","1,349","1,336","1,280","1,241","1,232","1,257","1,254","1,227","1,214","1,189","1,146","1,086","1,023"
山形,969,"1,027","1,080","1,117","1,100","1,336","1,357","1,354","1,321","1,263","1,226","1,220","1,252","1,262","1,258","1,257","1,244","1,216","1,169","1,124"
福島,"1,363","1,438","1,508","1,582","1,595","1,992","2,062","2,095","2,051","1,984","1,946","1,971","2,035","2,080","2,104","2,134","2,127","2,091","2,029","1,914"
茨城,"1,350","1,409","1,487","1,549","1,595","2,014","2,039","2,064","2,047","2,056","2,144","2,342","2,558","2,725","2,845","2,956","2,986","2,975","2,970","2,917"
栃木,"1,046","1,090","1,142","1,195","1,187","1,534","1,550","1,548","1,514","1,522","1,580","1,698","1,792","1,866","1,935","1,984","2,005","2,017","2,008","1,974"
群馬,"1,053","1,119","1,186","1,242","1,280","1,573","1,601","1,614","1,578","1,606","1,659","1,756","1,849","1,921","1,966","2,004","2,025","2,024","2,008","1,973"
埼玉,"1,320","1,394","1,459","1,529","1,583","2,100","2,146","2,263","2,431","3,015","3,866","4,821","5,420","5,864","6,405","6,759","6,938","7,054","7,195","7,267"
千葉,"1,336","1,399","1,470","1,546","1,561","2,113","2,139","2,205","2,306","2,702","3,367","4,149","4,735","5,148","5,555","5,798","5,926","6,056","6,216","6,223"
東京,"3,699","4,485","5,409","6,370","7,284","5,001","6,278","8,037","9,684","10,869","11,408","11,674","11,618","11,829","11,856","11,774","12,064","12,577","13,159","13,515"
神奈川,"1,323","1,417","1,620","1,840","2,158","2,218","2,488","2,919","3,443","4,431","5,472","6,398","6,924","7,432","7,980","8,246","8,490","8,792","9,048","9,126"
新潟,"1,776","1,850","1,933","1,996","2,022","2,418","2,461","2,473","2,442","2,399","2,361","2,392","2,451","2,478","2,475","2,488","2,476","2,431","2,374","2,304"
富山,724,749,779,799,810,979,"1,009","1,021","1,033","1,025","1,030","1,071","1,103","1,118","1,120","1,123","1,121","1,112","1,093","1,066"
石川,747,751,757,768,746,928,957,966,973,980,"1,002","1,070","1,119","1,152","1,165","1,180","1,181","1,174","1,170","1,154"
福井,599,598,618,647,635,726,752,754,753,751,744,774,794,818,824,827,829,822,806,787
山梨,583,601,631,647,651,807,811,807,782,763,762,783,804,833,853,882,888,885,863,835
長野,"1,563","1,629","1,717","1,714","1,683","2,060","2,061","2,021","1,981","1,958","1,957","2,018","2,084","2,137","2,157","2,194","2,215","2,196","2,152","2,099"
